model,split_id,selected_fraction,selected_rows,precision_in_selected,recall_of_true_top25,f1_selected,baseline_positive_rate_test
logistic_C1_l2_unweighted,4,0.1,38,0.9210526315789473,0.44871794871794873,0.603448275862069,0.20911528150134048
logistic_C1_l2_unweighted,4,0.15,56,0.8571428571428571,0.6153846153846154,0.7164179104477612,0.20911528150134048
logistic_C1_l2_unweighted,4,0.2,75,0.7466666666666667,0.717948717948718,0.7320261437908496,0.20911528150134048
logistic_C1_l2_unweighted,4,0.25,94,0.6382978723404256,0.7692307692307693,0.6976744186046512,0.20911528150134048
logistic_C1_l2_unweighted,4,0.3,112,0.5625,0.8076923076923077,0.6631578947368421,0.20911528150134048
logistic_C1.25_l2_unweighted,4,0.1,38,0.9210526315789473,0.44871794871794873,0.603448275862069,0.20911528150134048
logistic_C1.25_l2_unweighted,4,0.15,56,0.8392857142857143,0.6025641025641025,0.7014925373134329,0.20911528150134048
logistic_C1.25_l2_unweighted,4,0.2,75,0.7466666666666667,0.717948717948718,0.7320261437908496,0.20911528150134048
logistic_C1.25_l2_unweighted,4,0.25,94,0.6382978723404256,0.7692307692307693,0.6976744186046512,0.20911528150134048
logistic_C1.25_l2_unweighted,4,0.3,112,0.5535714285714286,0.7948717948717948,0.6526315789473685,0.20911528150134048
random_forest_depth4_leaf5,4,0.1,38,0.8157894736842105,0.3974358974358974,0.5344827586206896,0.20911528150134048
random_forest_depth4_leaf5,4,0.15,56,0.75,0.5384615384615384,0.6268656716417911,0.20911528150134048
random_forest_depth4_leaf5,4,0.2,75,0.6133333333333333,0.5897435897435898,0.6013071895424836,0.20911528150134048
random_forest_depth4_leaf5,4,0.25,94,0.5638297872340425,0.6794871794871795,0.6162790697674418,0.20911528150134048
random_forest_depth4_leaf5,4,0.3,112,0.5178571428571429,0.7435897435897436,0.6105263157894737,0.20911528150134048
extra_trees_depth4_leaf5,4,0.1,38,0.6842105263157895,0.3333333333333333,0.4482758620689655,0.20911528150134048
extra_trees_depth4_leaf5,4,0.15,56,0.6964285714285714,0.5,0.582089552238806,0.20911528150134048
extra_trees_depth4_leaf5,4,0.2,75,0.6133333333333333,0.5897435897435898,0.6013071895424836,0.20911528150134048
extra_trees_depth4_leaf5,4,0.25,94,0.5638297872340425,0.6794871794871795,0.6162790697674418,0.20911528150134048
extra_trees_depth4_leaf5,4,0.3,112,0.5089285714285714,0.7307692307692307,0.6,0.20911528150134048
hist_gradient_boosting_l2,4,0.1,38,0.868421052631579,0.4230769230769231,0.5689655172413793,0.20911528150134048
