site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,next_visit_start_date,site_confidence,match_quality,site_review_reason,split_id,model,actual_repollution_kg_per_day,actual_top25,predicted_top25_score
1354,1354,ΣΚΟΠΕΛΟΣ,ΠΑΡΑΛΊΑ ΜΑΒΡΆΚΙ,ΣΚΌΠΕΛΟΣ ΠΑΡΑΛΊΑ 29,2020-08-22,2025-09-17,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.06504646882174984
1381,1381,ΑΛΟΝΝΗΣΟΣ,,ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 12 | ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 13,2020-08-08,2025-08-27,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.02144584852400976
1394,1394,ΑΛΟΝΝΗΣΟΣ,ΠΑΡΑΛΊΑ ΚΑΛΑΜΆΚΙΑ,ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 27 | ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 28,2020-08-10,2025-08-27,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.025333373088251277
1399,1399,ΑΛΟΝΝΗΣΟΣ,,ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 39,2020-08-10,2025-09-12,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.03943193074211622
1401,1401,ΑΛΟΝΝΗΣΟΣ,,ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 41,2020-08-17,2025-09-15,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.019255247299864546
1405,1405,ΑΛΟΝΝΗΣΟΣ,,ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 45,2020-08-17,2025-08-29,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.024243331567191505
1407,1407,ΑΛΟΝΝΗΣΟΣ,,ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 47,2020-08-18,2025-08-29,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.026989661039762504
1408,1408,ΑΛΟΝΝΗΣΟΣ,,ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 48,2020-08-18,2025-08-29,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.01597556462803714
1410,1410,ΑΛΟΝΝΗΣΟΣ,,ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 50,2020-08-18,2025-08-29,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.01417605790394653
1415,1415,ΑΛΟΝΝΗΣΟΣ,,ΑΛΌΝΝΗΣΟΣ ΠΑΡΑΛΊΑ 59,2020-08-18,2025-08-29,high,canonical_high,multiple_special_numbers,2,logistic_C1_unweighted,0.0,0,0.016078530551620236
