model,family,split_id,target_threshold_train,average_precision,roc_auc,f1_at_0_5,precision_at_0_5,recall_at_0_5
lgbm_leaves3_lr0.07_n150_reg,lightgbm,3,0.08086093914398546,0.8158637014505001,0.9200248101646493,0.7439613526570048,0.6814159292035398,0.8191489361702128
lgbm_leaves3_lr0.07_n150_reg,lightgbm,4,0.08965532467628037,0.7570139324144656,0.8731421121251629,0.6229508196721312,0.5428571428571428,0.7307692307692307
lgbm_leaves3_lr0.07_n150_reg,lightgbm,5,0.083669936526255,0.7839054120690883,0.8969172657487511,0.7216494845360825,0.6542056074766355,0.8045977011494253
lgbm_leaves5_lr0.02_n350_reg,lightgbm,1,0.081999739786625,0.7765459113836357,0.8811653116531165,0.6881720430107527,0.6666666666666666,0.7111111111111111
lgbm_leaves5_lr0.02_n350_reg,lightgbm,2,0.0816462571597866,0.7957169012640112,0.8728404011115138,0.6934673366834171,0.6272727272727273,0.7752808988764045
lgbm_leaves5_lr0.02_n350_reg,lightgbm,3,0.08086093914398546,0.8127558535183632,0.9227689647394933,0.7586206896551724,0.7064220183486238,0.8191489361702128
lgbm_leaves5_lr0.02_n350_reg,lightgbm,4,0.08965532467628037,0.7563528929896639,0.8755323772272925,0.6408839779005525,0.5631067961165048,0.7435897435897436
lgbm_leaves5_lr0.02_n350_reg,lightgbm,5,0.083669936526255,0.7748221822778031,0.8982982007229602,0.7291666666666666,0.6666666666666666,0.8045977011494253
lgbm_leaves5_lr0.04_n220_reg,lightgbm,1,0.081999739786625,0.7696084398661226,0.8824816105303911,0.6951871657754011,0.6701030927835051,0.7222222222222222
lgbm_leaves5_lr0.04_n220_reg,lightgbm,2,0.0816462571597866,0.7919644566041859,0.8697394386049696,0.696969696969697,0.6330275229357798,0.7752808988764045
lgbm_leaves5_lr0.04_n220_reg,lightgbm,3,0.08086093914398546,0.8081188564370714,0.919122622359221,0.7524752475247525,0.7037037037037037,0.8085106382978723
lgbm_leaves5_lr0.04_n220_reg,lightgbm,4,0.08965532467628037,0.7580230155793973,0.8751195132551065,0.6480446927374302,0.5742574257425742,0.7435897435897436
lgbm_leaves5_lr0.04_n220_reg,lightgbm,5,0.083669936526255,0.7723206269949978,0.8971812680232323,0.7329842931937173,0.6730769230769231,0.8045977011494253
lgbm_leaves5_lr0.07_n150_reg,lightgbm,1,0.081999739786625,0.7764928727088427,0.8805652342237709,0.6951871657754011,0.6701030927835051,0.7222222222222222
lgbm_leaves5_lr0.07_n150_reg,lightgbm,2,0.0816462571597866,0.7862281177514601,0.8694776690427289,0.6965174129353234,0.625,0.7865168539325843
lgbm_leaves5_lr0.07_n150_reg,lightgbm,3,0.08086093914398546,0.8144355876060705,0.922487031050297,0.75,0.7075471698113207,0.7978723404255319
lgbm_leaves5_lr0.07_n150_reg,lightgbm,4,0.08965532467628037,0.7543475673236911,0.8763363754889179,0.651685393258427,0.58,0.7435897435897436
lgbm_leaves5_lr0.07_n150_reg,lightgbm,5,0.083669936526255,0.7649356213247072,0.8952317127655254,0.717948717948718,0.6481481481481481,0.8045977011494253
lgbm_leaves7_lr0.02_n350_reg,lightgbm,1,0.081999739786625,0.7739598032541968,0.8808943089430894,0.6844919786096256,0.6597938144329897,0.7111111111111111
lgbm_leaves7_lr0.02_n350_reg,lightgbm,2,0.0816462571597866,0.7968532866898955,0.8724578148282387,0.696969696969697,0.6330275229357798,0.7752808988764045
lgbm_leaves7_lr0.02_n350_reg,lightgbm,3,0.08086093914398546,0.8050336555482175,0.9195925118412149,0.7524752475247525,0.7037037037037037,0.8085106382978723
lgbm_leaves7_lr0.02_n350_reg,lightgbm,4,0.08965532467628037,0.7624691082546945,0.8751629726205996,0.632768361581921,0.5656565656565656,0.717948717948718
