analysis_type,feature_set,detail,split_id,n_features,features,top25_threshold_train,positive_rate_test,average_precision,roc_auc,f1,precision,recall,balanced_accuracy
leave_one_out,minus_region,region,4,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.7839181296560559,0.8786614515428075,0.6914893617021277,0.5909090909090909,0.8333333333333334,0.8403954802259888
leave_one_out,minus_region,region,5,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, sediment, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.7938247421597175,0.9096706063929165,0.7216494845360825,0.6542056074766355,0.8045977011494253,0.8369278258397304
leave_one_out,minus_sediment,sediment,1,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.8022853917773045,0.9059620596205963,0.7526881720430108,0.7291666666666666,0.7777777777777778,0.8435927216415021
leave_one_out,minus_sediment,sediment,2,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.8115039411250606,0.8613024042527485,0.7083333333333334,0.6601941747572816,0.7640449438202247,0.8192984575731947
leave_one_out,minus_sediment,sediment,3,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.7898801618131495,0.9007217502443425,0.7317073170731707,0.6756756756756757,0.7978723404255319,0.8353319299300804
leave_one_out,minus_sediment,sediment,4,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.7750465205589249,0.8726640591047371,0.6378378378378379,0.5514018691588785,0.7564102564102564,0.7968491960017383
leave_one_out,minus_sediment,sediment,5,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, tourist_business, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.8026365857460733,0.9097112221274521,0.7336683417085427,0.6517857142857143,0.8390804597701149,0.8506356362454814
leave_one_out,minus_tourist_business,tourist_business,1,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.794391182134984,0.8981029810298103,0.7553191489361702,0.7244897959183674,0.7888888888888889,0.847406116918312
leave_one_out,minus_tourist_business,tourist_business,2,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.0816462571597866,0.2418478260869565,0.8113176763726923,0.8625508437034352,0.7010309278350515,0.6476190476190476,0.7640449438202247,0.8157142281825138
leave_one_out,minus_tourist_business,tourist_business,3,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08086093914398546,0.2493368700265252,0.8013488773108164,0.9068491090895422,0.7192118226600985,0.6697247706422018,0.776595744680851,0.82469363205774
leave_one_out,minus_tourist_business,tourist_business,4,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.08965532467628037,0.20911528150134048,0.783840057247008,0.8792698826597131,0.6702702702702703,0.5794392523364486,0.7948717948717948,0.8211647109952194
leave_one_out,minus_tourist_business,tourist_business,5,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, road_network, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.083669936526255,0.23513513513513515,0.8111162578249479,0.9119450875269077,0.75,0.6857142857142857,0.8275862068965517,0.8554892165224808
leave_one_out,minus_road_network,road_network,1,20,"previous_visit_month, previous_visit_season, latitude, longitude, orientation, wind_direction_previous, wind_speed_previous, region, sediment, tourist_business, Pct_Age_15_34, Youth_Dependency, Avg_Household_Size, Unemployment_Rate, UrbanRural_Class, Daytime_Population_Pressure, previous_total_weight, days_between_visits, coastline_cleaned, width_length",0.081999739786625,0.23872679045092837,0.7939031881860324,0.8987998451413087,0.7539267015706806,0.7128712871287128,0.8,0.8494773519163763
