scope,split_id,feature_set,model,n_features,rows_test,top25_threshold_train,positive_rate_test,average_precision,roc_auc,f1,precision,recall,balanced_accuracy
broad,1,base_11_plus_all_repollution_specific,extra_trees_balanced,15,540,0.147982062780269,0.21481481481481482,0.6367726148742355,0.8407307254391672,0.6283524904214559,0.5655172413793104,0.7068965517241379,0.7791558230318802
broad,2,base_11_plus_all_repollution_specific,baseline_all_negative,15,552,0.1251448435689455,0.2717391304347826,0.2717391304347826,0.5,0.0,0.0,0.0,0.5
broad,2,base_11_plus_all_repollution_specific,logistic_balanced,15,552,0.1251448435689455,0.2717391304347826,0.7367915270830075,0.8662520729684909,0.6927710843373494,0.6318681318681318,0.7666666666666667,0.8
broad,2,base_11_plus_all_repollution_specific,random_forest_balanced,15,552,0.1251448435689455,0.2717391304347826,0.7061134797509013,0.8717993366500828,0.691131498470948,0.6384180790960452,0.7533333333333333,0.7970646766169154
broad,2,base_11_plus_all_repollution_specific,extra_trees_balanced,15,552,0.1251448435689455,0.2717391304347826,0.6533799545347514,0.8435737976782751,0.6257309941520468,0.5572916666666666,0.7133333333333334,0.7509452736318408
broad,3,base_11_plus_all_repollution_specific,baseline_all_negative,15,549,0.13756187540861115,0.22768670309653916,0.22768670309653916,0.5,0.0,0.0,0.0,0.5
broad,3,base_11_plus_all_repollution_specific,logistic_balanced,15,549,0.13756187540861115,0.22768670309653916,0.7427028642424456,0.8632264150943396,0.6484641638225256,0.5654761904761905,0.76,0.7939150943396227
broad,3,base_11_plus_all_repollution_specific,random_forest_balanced,15,549,0.13756187540861115,0.22768670309653916,0.6987660208755297,0.8650849056603773,0.6619718309859155,0.5911949685534591,0.752,0.7993490566037735
broad,3,base_11_plus_all_repollution_specific,extra_trees_balanced,15,549,0.13756187540861115,0.22768670309653916,0.6232332767559678,0.8382264150943396,0.6462585034013606,0.5621301775147929,0.76,0.7927358490566038
broad,4,base_11_plus_all_repollution_specific,baseline_all_negative,15,537,0.147711928972301,0.21601489757914338,0.21601489757914338,0.5,0.0,0.0,0.0,0.5
broad,4,base_11_plus_all_repollution_specific,logistic_balanced,15,537,0.147711928972301,0.21601489757914338,0.7624853468890262,0.9107215988205423,0.7011070110701108,0.6129032258064516,0.8189655172413793,0.8382238512572693
broad,4,base_11_plus_all_repollution_specific,random_forest_balanced,15,537,0.147711928972301,0.21601489757914338,0.7348574035967956,0.8962343353263985,0.651685393258427,0.5761589403973509,0.75,0.7989904988123515
broad,4,base_11_plus_all_repollution_specific,extra_trees_balanced,15,537,0.147711928972301,0.21601489757914338,0.6651786009917823,0.8800679826357607,0.6428571428571429,0.5487804878048781,0.7758620689655172,0.8000450487345401
broad,5,base_11_plus_all_repollution_specific,baseline_all_negative,15,556,0.1330998248686515,0.24820143884892087,0.24820143884892087,0.5,0.0,0.0,0.0,0.5
broad,5,base_11_plus_all_repollution_specific,logistic_balanced,15,556,0.1330998248686515,0.24820143884892087,0.7074265469593864,0.86497122252271,0.6858974358974359,0.6149425287356322,0.7753623188405797,0.8075376187504334
broad,5,base_11_plus_all_repollution_specific,random_forest_balanced,15,556,0.1330998248686515,0.24820143884892087,0.6869217868981627,0.8663320851535954,0.6933333333333334,0.6419753086419753,0.7536231884057971,0.8074336037722766
broad,5,base_11_plus_all_repollution_specific,extra_trees_balanced,15,556,0.1330998248686515,0.24820143884892087,0.6446084038624945,0.8511372304278484,0.6687898089171974,0.5965909090909091,0.7608695652173914,0.7955065529436238
broad,1,full_base_demo_repollution,baseline_all_negative,21,540,0.147982062780269,0.21481481481481482,0.21481481481481482,0.5,0.0,0.0,0.0,0.5
broad,1,full_base_demo_repollution,logistic_balanced,21,540,0.147982062780269,0.21481481481481482,0.7398721881603714,0.8586328887443071,0.6616541353383458,0.5866666666666667,0.7586206896551724,0.8061971372804164
broad,1,full_base_demo_repollution,random_forest_balanced,21,540,0.147982062780269,0.21481481481481482,0.71620981534567,0.8702626870527002,0.6561264822134387,0.6058394160583942,0.7155172413793104,0.7940793754066363
broad,1,full_base_demo_repollution,extra_trees_balanced,21,540,0.147982062780269,0.21481481481481482,0.6213177753029648,0.837741948601171,0.6147859922178989,0.5602836879432624,0.6810344827586207,0.7674040338321405
broad,2,full_base_demo_repollution,baseline_all_negative,21,552,0.1251448435689455,0.2717391304347826,0.2717391304347826,0.5,0.0,0.0,0.0,0.5
broad,2,full_base_demo_repollution,logistic_balanced,21,552,0.1251448435689455,0.2717391304347826,0.7393415478852592,0.8680928689883913,0.6951219512195121,0.6404494382022472,0.76,0.8003980099502488
broad,2,full_base_demo_repollution,random_forest_balanced,21,552,0.1251448435689455,0.2717391304347826,0.6910911775483464,0.8684908789386402,0.6728971962616822,0.631578947368421,0.72,0.7816417910447762
broad,2,full_base_demo_repollution,extra_trees_balanced,21,552,0.1251448435689455,0.2717391304347826,0.6458987397425241,0.8417412935323383,0.6529411764705882,0.5842105263157895,0.74,0.7717412935323382
broad,3,full_base_demo_repollution,baseline_all_negative,21,549,0.13756187540861115,0.22768670309653916,0.22768670309653916,0.5,0.0,0.0,0.0,0.5
broad,3,full_base_demo_repollution,logistic_balanced,21,549,0.13756187540861115,0.22768670309653916,0.7418453301201096,0.8656037735849056,0.6305084745762712,0.5470588235294118,0.744,0.7811981132075472
broad,3,full_base_demo_repollution,random_forest_balanced,21,549,0.13756187540861115,0.22768670309653916,0.694080811895205,0.8629528301886793,0.6327272727272727,0.58,0.696,0.7737075471698113
broad,3,full_base_demo_repollution,extra_trees_balanced,21,549,0.13756187540861115,0.22768670309653916,0.6295421150926039,0.8392830188679246,0.6348122866894198,0.5535714285714286,0.744,0.7835566037735848
broad,4,full_base_demo_repollution,baseline_all_negative,21,537,0.147711928972301,0.21601489757914338,0.21601489757914338,0.5,0.0,0.0,0.0,0.5
broad,4,full_base_demo_repollution,logistic_balanced,21,537,0.147711928972301,0.21601489757914338,0.7569662790415358,0.9092267999017118,0.6937269372693727,0.6064516129032258,0.8103448275862069,0.832725857973626
broad,4,full_base_demo_repollution,random_forest_balanced,21,537,0.147711928972301,0.21601489757914338,0.7255077575480086,0.8976165124088786,0.6566037735849056,0.5838926174496645,0.75,0.8013657957244655
broad,4,full_base_demo_repollution,extra_trees_balanced,21,537,0.147711928972301,0.21601489757914338,0.6697045401633107,0.8834466377262675,0.6498194945848376,0.5590062111801242,0.7758620689655172,0.8036079941027111
broad,5,full_base_demo_repollution,baseline_all_negative,21,556,0.1330998248686515,0.24820143884892087,0.24820143884892087,0.5,0.0,0.0,0.0,0.5
broad,5,full_base_demo_repollution,logistic_balanced,21,556,0.1330998248686515,0.24820143884892087,0.708824980026987,0.8679009777407947,0.6775244299674267,0.6153846153846154,0.7536231884057971,0.7990603980306498
broad,5,full_base_demo_repollution,random_forest_balanced,21,556,0.1330998248686515,0.24820143884892087,0.682621726927003,0.8658380140073504,0.6889632107023411,0.639751552795031,0.7463768115942029,0.8038104153664795
broad,5,full_base_demo_repollution,extra_trees_balanced,21,556,0.1330998248686515,0.24820143884892087,0.6456069643285165,0.8486755426114694,0.6881028938906752,0.6184971098265896,0.7753623188405797,0.8087337909992371
broad,1,full_minus_demographics,baseline_all_negative,15,540,0.147982062780269,0.21481481481481482,0.21481481481481482,0.5,0.0,0.0,0.0,0.5
broad,1,full_minus_demographics,logistic_balanced,15,540,0.147982062780269,0.21481481481481482,0.7364633936717253,0.8557051073519844,0.6666666666666666,0.5796178343949044,0.7844827586206896,0.8144111906310996
broad,1,full_minus_demographics,random_forest_balanced,15,540,0.147982062780269,0.21481481481481482,0.7241058248688523,0.8721535458685752,0.6363636363636364,0.5675675675675675,0.7241379310344828,0.7865972674040338
broad,1,full_minus_demographics,extra_trees_balanced,15,540,0.147982062780269,0.21481481481481482,0.6367726148742355,0.8407307254391672,0.6283524904214559,0.5655172413793104,0.7068965517241379,0.7791558230318802
broad,2,full_minus_demographics,baseline_all_negative,15,552,0.1251448435689455,0.2717391304347826,0.2717391304347826,0.5,0.0,0.0,0.0,0.5
broad,2,full_minus_demographics,logistic_balanced,15,552,0.1251448435689455,0.2717391304347826,0.7367915270830075,0.8662520729684909,0.6927710843373494,0.6318681318681318,0.7666666666666667,0.8
broad,2,full_minus_demographics,random_forest_balanced,15,552,0.1251448435689455,0.2717391304347826,0.7061134797509013,0.8717993366500828,0.691131498470948,0.6384180790960452,0.7533333333333333,0.7970646766169154
broad,2,full_minus_demographics,extra_trees_balanced,15,552,0.1251448435689455,0.2717391304347826,0.6533799545347514,0.8435737976782751,0.6257309941520468,0.5572916666666666,0.7133333333333334,0.7509452736318408
broad,3,full_minus_demographics,baseline_all_negative,15,549,0.13756187540861115,0.22768670309653916,0.22768670309653916,0.5,0.0,0.0,0.0,0.5
broad,3,full_minus_demographics,logistic_balanced,15,549,0.13756187540861115,0.22768670309653916,0.7427028642424456,0.8632264150943396,0.6484641638225256,0.5654761904761905,0.76,0.7939150943396227
broad,3,full_minus_demographics,random_forest_balanced,15,549,0.13756187540861115,0.22768670309653916,0.6987660208755297,0.8650849056603773,0.6619718309859155,0.5911949685534591,0.752,0.7993490566037735
