site_id,canonical_site_id,region,beach_name,beaches,previous_visit_start_date,previous_visit_end_date,next_visit_start_date,next_visit_end_date,site_confidence,match_quality,site_review_reason,repollution_kg_per_day,previous_total_weight,days_between_visits,repollution_risk_score,actual_top25_training_label,priority_rank,priority_percentile,priority_band
1426,1426,ΠΕΡΙΣΤΕΡΑ,FLIPS BAY,ΠΕΡΙΣΤΈΡΑ ΠΑΡΑΛΊΑ 20,2020-08-13,2020-08-13,2024-04-03,2024-04-03,medium,canonical_medium,multiple_special_numbers; multiple_regions,0.0,9.0,1329,0.07042436865041682,0,929,0.61974649766511,below_top_30_percent
1900,1900,ΛΗΜΝΟΣ,,ΛΉΜΝΟΣ ΠΑΡΑΛΊΑ 219,2021-06-05,2021-06-05,2025-05-07,2025-05-07,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,1432,0.06982369359413029,0,930,0.6204136090727151,below_top_30_percent
3253,3253,ΚΕΡΚΥΡΑ,,ΚΈΡΚΥΡΑ ΠΑΡΑΛΊΑ 39,2022-08-03,2022-08-03,2024-09-12,2024-09-12,high,canonical_high,ok,0.0,0.0,771,0.06979938706638741,0,931,0.6210807204803203,below_top_30_percent
179,179,ΚΡΗΤΗ,ΠΑΡΑΛΊΑ ΠΟΤΑΜΌΣ,ΓΑΎΔΟΣ ΠΑΡΑΛΊΑ 85,2019-10-29,2019-10-29,2023-04-21,2023-04-21,high,canonical_high,ok,0.0,9.0,1270,0.06953031917783631,0,932,0.6217478318879253,below_top_30_percent
3325,3325,ΚΕΡΚΥΡΑ,,ΚΈΡΚΥΡΑ ΠΑΡΑΛΊΑ 180 | ΚΈΡΚΥΡΑ ΠΑΡΑΛΊΑ 181,2022-08-14,2022-08-14,2024-09-13,2024-09-13,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,761,0.06948058628906546,0,933,0.6224149432955304,below_top_30_percent
3866,3866,ΣΙΦΝΟΣ,,ΣΊΦΝΟΣ ΠΑΡΑΛΊΑ 4,2022-12-24,2022-12-24,2024-05-09,2024-05-09,high,canonical_high,multiple_special_numbers,0.0,0.0,502,0.06937346483710077,0,934,0.6230820547031354,below_top_30_percent
3867,3867,ΣΙΦΝΟΣ,ΠΑΡΑΛΊΑ ΓΙΑΛΟΥΔΊΑ,ΣΊΦΝΟΣ ΠΑΡΑΛΊΑ 5,2022-12-24,2022-12-24,2024-05-09,2024-05-09,high,canonical_high,multiple_special_numbers,0.0,0.0,502,0.06937338503934926,0,935,0.6237491661107405,below_top_30_percent
3868,3868,ΣΙΦΝΟΣ,ΠΑΡΑΛΊΑ ΓΙΑΛΟΎΔΙΑ,ΣΊΦΝΟΣ ΠΑΡΑΛΊΑ 6,2022-12-24,2022-12-24,2024-05-09,2024-05-09,high,canonical_high,multiple_special_numbers,0.0,0.0,502,0.0693733685281825,0,936,0.6244162775183456,below_top_30_percent
3094,3094,ΚΑΛΑΜΟΣ,,ΚΆΛΑΜΟΣ ΠΑΡΑΛΊΑ 45,2022-07-18,2022-07-18,2024-08-20,2024-08-20,medium,canonical_medium,coordinate_spread_100_250m; multiple_special_numbers,0.0,0.0,764,0.06916886061187581,0,937,0.6250833889259506,below_top_30_percent
3991,3991,ΙΟΣ,,ΊΟΣ ΠΑΡΑΛΊΑ 11,2023-01-06,2023-01-06,2024-05-29,2024-05-29,high,canonical_high,multiple_special_numbers,0.0,0.0,509,0.06916191653127571,0,938,0.6257505003335557,below_top_30_percent
